rank,company_name,website,final_career_url,verified,Citation
1,Walmart,www.stock.walmart.com,https://careers.walmart.com/us/en/home,True,"The provided URL is the direct career page for Walmart, leading to job listings and is accessible."
2,Amazon,www.amazon.com,https://www.amazon.jobs/en/,True,The URL leads directly to Amazon's job listings page and is accessible.
3,Apple,www.apple.com,https://www.apple.com/careers/us/,True,The URL leads directly to the job listings page for Apple and is accessible.
4,UnitedHealth Group,www.unitedhealthgroup.com,https://www.unitedhealthgroup.com/careers/en/work.html,True,The URL leads directly to the job listings page for UnitedHealth Group and is accessible. (Redirects to: https://www.unitedhealthgroup.com/careers/en/work.html)
5,Berkshire Hathaway,www.berkshirehathaway.com,,False,"Berkshire Hathaway does not have a central career page; job listings are managed by individual subsidiaries, and no direct accessible URL was found."
6,CVS Health,www.cvshealth.com,https://jobs.cvshealth.com/us/en,True,The URL leads directly to the job listings page for CVS Health and is accessible.
7,Exxon Mobil,www.exxonmobil.com,https://jobs.exxonmobil.com/,True,The URL leads directly to the job listings page for Exxon Mobil and is accessible.
8,Alphabet,www.abc.xyz/,https://www.google.com/about/careers/applications/,True,"The correct career page for Alphabet is accessible at careers.google.com, which directly lists job opportunities. (Redirects to: https://www.google.com/about/careers/applications/)"
9,McKesson,www.mckesson.com,https://careers.mckesson.com/en,True,The URL leads directly to the job listings page for McKesson and is accessible.
10,Cencora,www.cencora.com,https://careers.cencora.com/us/en,True,The URL leads directly to the job listings page for Cencora and is accessible.
11,Costco Wholesale,www.costco.com,https://www.costco.com/careers.html,False,Suggested URL not accessible: https://www.costco.com/careers.html
12,JPMorgan Chase,www.jpmorganchase.com,https://www.jpmorganchase.com/careers?redirect=careers_jpm,True,The URL leads directly to the job search page for JPMorgan Chase and is accessible. (Redirects to: https://www.jpmorganchase.com/careers?redirect=careers_jpm)
13,Microsoft,www.microsoft.com,https://careers.microsoft.com/v2/global/en/home.html,True,The URL leads directly to Microsoft's job listings page and is accessible.
14,Cardinal Health,www.cardinalhealth.com,https://www.cardinalhealth.com/en/careers/job-search.html,False,Suggested URL not accessible: https://www.cardinalhealth.com/en/careers/job-search.html
15,Chevron,www.chevron.com,https://careers.chevron.com/,True,The URL leads directly to Chevron's job listings page and is accessible.
16,Cigna Group,www.thecignagroup.com,https://jobs.thecignagroup.com/us/en,True,This URL leads directly to Cigna Group's career page where job listings are available. (Redirects to: https://jobs.thecignagroup.com/us/en)
17,Ford Motor,www.ford.com,https://www.careers.ford.com/en/home.html,True,The URL leads directly to Ford's career page where job listings are available.
18,Bank of America,www.bankofamerica.com,https://careers.bankofamerica.com/en-us,True,The URL leads directly to the job search page for Bank of America and is accessible.
19,General Motors,www.gm.com,https://www.gm.com/careers,False,Suggested URL not accessible: https://www.gm.com/careers
20,Elevance Health,www.elevancehealth.com,https://careers.elevancehealth.com/,True,The URL leads directly to the job listings page for Elevance Health and is accessible. (Redirects to: https://careers.elevancehealth.com/)
21,Citigroup,www.citigroup.com,https://careers.citigroup.com/,True,The URL leads directly to Citigroup's job listings page and is accessible.
22,Centene,www.centene.com,https://www.centene.com/careers,False,Suggested URL not accessible: https://www.centene.com/careers
23,Home Depot,www.homedepot.com,https://careers.homedepot.com/,True,The URL leads directly to Home Depot's job listings page and is accessible.
24,Marathon Petroleum,www.marathonpetroleum.com,https://www.marathonpetroleum.com/careers/,False,Suggested URL not accessible: https://www.marathonpetroleum.com/careers/
25,Kroger,www.thekrogerco.com,https://www.krogerfamilycareers.com/en/sites/CX_2001,True,This URL leads directly to Kroger's job listings page and is accessible. (Redirects to: https://www.krogerfamilycareers.com/en/sites/CX_2001)
26,Phillips 66,www.phillips66.com,https://careers.phillips66.com/,True,The URL leads directly to the job listings page for Phillips 66 and is accessible.
27,Fannie Mae,www.fanniemae.com,https://www.fanniemae.com/careers,True,The URL leads directly to the job listings page for Fannie Mae and is accessible.
28,Walgreens Boots Alliance,www.walgreensbootsalliance.com,https://jobs.walgreens.com/en,True,The URL leads directly to the job listings page for Walgreens Boots Alliance and is accessible.
29,Valero Energy,www.valero.com,https://www.valero.com/careers,True,The URL leads directly to Valero Energy's job listings page and is accessible.
30,Meta Platforms,investor.fb.com,https://www.metacareers.com/jobsearch,True,"The URL leads directly to Meta Platforms' job search page, displaying job listings and is accessible."
31,Verizon Communications,www.verizon.com,https://mycareer.verizon.com/,False,Suggested URL not accessible: https://mycareer.verizon.com/
32,AT&T,www.att.com,https://www.att.com/careers,False,Suggested URL not accessible: https://www.att.com/careers
33,Comcast,www.comcastcorporation.com,https://jobs.comcast.com/,True,The URL leads directly to Comcast's job listings page and is accessible.
34,Wells Fargo,www.wellsfargo.com,https://www.wellsfargo.com/about/careers/?utm_medium=www-redirect&utm_source=careers,True,This URL leads directly to the Wells Fargo careers page where job listings are available. (Redirects to: https://www.wellsfargo.com/about/careers/?utm_medium=www-redirect&utm_source=careers)
35,Goldman Sachs Group,www.goldmansachs.com,https://www.goldmansachs.com/careers/,True,This URL leads directly to the Goldman Sachs careers page where job listings are available.
36,Freddie Mac,www.freddiemac.com,https://careers.freddiemac.com/us/en,True,The URL leads directly to the job listings page for Freddie Mac and is accessible.
37,Target,www.target.com,https://corporate.target.com/careers,True,The URL leads directly to Target's career page where job listings are available and is accessible.
38,Humana,www.humana.com,https://careers.humana.com/us/en,True,The URL leads directly to the job listings page for Humana and is accessible.
39,State Farm Insurance,www.statefarm.com,https://www.statefarm.com/careers,False,Suggested URL not accessible: https://www.statefarm.com/careers
40,Tesla,www.tesla.com,https://careers.tesla.com,False,Suggested URL not accessible: https://careers.tesla.com
41,Morgan Stanley,www.morganstanley.com,https://www.morganstanley.com/people,True,This URL leads directly to the Morgan Stanley careers page where job listings are available. (Redirects to: https://www.morganstanley.com/people)
42,Johnson & Johnson,www.jnj.com,https://www.careers.jnj.com/,False,Suggested URL not accessible: https://www.careers.jnj.com/
43,Archer Daniels Midland,www.adm.com,https://www.adm.com/careers/,True,This URL leads directly to the job search page for Archer Daniels Midland and is accessible. (Redirects to: https://www.adm.com/careers/)
44,PepsiCo,www.pepsico.com,https://www.pepsicojobs.com/main/,True,"The URL leads directly to the job listings page for PepsiCo, fulfilling all critical requirements."
45,UPS,www.ups.com,https://www.ups.com/us/en/careers.page,False,Suggested URL not accessible: https://www.ups.com/us/en/careers.page
46,FedEx,www.fedex.com,https://careers.fedex.com/,True,The URL leads directly to FedEx's job listings page and is accessible. (Redirects to: https://careers.fedex.com/)
47,Walt Disney,www.thewaltdisneycompany.com,https://jobs.disneycareers.com/,True,"The URL leads directly to the job listings page for Walt Disney, meeting all critical requirements."
48,Dell Technologies,www.delltechnologies.com,https://jobs.dell.com/en,True,The URL leads directly to the job listings page for Dell Technologies and is accessible. (Redirects to: https://jobs.dell.com/en)
49,Lowe's,www.lowes.com,https://www.lowes.com/careers,False,Suggested URL not accessible: https://www.lowes.com/careers
50,Procter & Gamble,www.pginvestor.com,https://www.pgcareers.com/us/en,True,"The URL leads directly to the job search page for Procter & Gamble, displaying job listings and is accessible."
51,Energy Transfer,www.energytransfer.com,https://careers.energytransfer.com,False,Suggested URL not accessible: https://careers.energytransfer.com
52,Boeing,www.boeing.com,https://jobs.boeing.com/,True,This URL leads directly to Boeing's job listings page and is accessible. (Redirects to: https://jobs.boeing.com/)
