category,title,company,location,work_model,salary_text,date_posted,company_size,h1b_sponsored,is_new_grad,qualifications,url
Data_Engineer,Data Engineer,Zoox,Hybrid,,"$153,000-$241,000 /yr",2025-12-08,,,,"1. BS/MS degree in a technical field 2. Experience designing and building complex data infrastructure at scale 3. Advanced Structure Query Language (SQL) and data warehousing experience 4. Experience operating a workflow manager such as Airflow 5. Experience with large scale streaming platforms (e.g. Kafka, Kinesis), processing frameworks (e.g. Spark, Hadoop) and storage engines (e.g. HDFS, HBase)",https://jobright.ai/jobs/info/693749d31c1c2161c13f26f1?utm_source=1114&utm_campaign=New%20Grad%20Data%20Engineer
Data_Engineer,Data Operations Engineer,Catalist,Hybrid,,$56000-$63000 /yr,2025-12-08,51-100,,,,https://jobright.ai/jobs/info/6937410da0dde7020e300865?utm_source=1114&utm_campaign=New%20Grad%20Data%20Engineer
Data_Engineer,Clinical Data Management Specialist,Everest Clinical Research,Hybrid,,$45000-$70000 /yr,2025-12-08,501-1000,,,"1. A Bachelors’ or Masters’ degree in health and/or pharmaceutical sciences, physical/biological, or chemistry fields. 2. Education or experience must demonstrate the ability to work independently and to apply data management concepts, clinical trial data capture and management techniques, and logical and algebraic operations.",https://jobright.ai/jobs/info/6919d3f215b415636718768c?utm_source=1114&utm_campaign=New%20Grad%20Data%20Engineer
Data_Engineer,SQL Database Associate,MV Ventures,"Eagan, MN, US",,$18 /hr,2025-12-08,11-50,,,"1. Familiarity with Microsoft SQL Server and its management tools. 2. Demonstrate proficiency in writing SQL queries, with basic understanding of SELECT, INSERT, UPDATE, DELETE and different types of JOIN operations. 3. Basic knowledge of database management principles. 4. Ability to identify and troubleshoot common database issues. 5. Basic scripting skills with knowledge of scheduled tasks and scripting for routine maintenance. ...",https://jobright.ai/jobs/info/693692c81c1c2161c13edc13?utm_source=1114&utm_campaign=New%20Grad%20Data%20Engineer
Data_Engineer,Enterprise Performance Analytics Engineer,Care Access,Hybrid,,$80000-$110000 /yr,2025-12-07,501-1000,,,"1. Proven analytical and organizational skills to meet deadlines in an environment of often-changing priorities, conceptual thinker comfortable with ambiguity 2. Proficiency in SQL and data warehousing concepts 3. Understanding of data modeling concepts 4. Exposure to modern data stack tools 5. Understanding of version control systems ...",https://jobright.ai/jobs/info/6902389b98707b2b0fe6d3f7?utm_source=1114&utm_campaign=New%20Grad%20Data%20Engineer
Data_Engineer,Quantitative Developer – SMA & Muni,PIMCO,"San Diego, CA",,$165K-$180K /yr,2025-12-07,,,,"1. Graduate degree (M.S.) in Financial Engineering, Mathematics, Computer Science, or a related STEM field. 2. 0-2 years of relevant experience in the areas listed below 3. Demonstrated ability to work independently with a strong sense of ownership, consistently driving projects to completion in a fast-paced environment. 4. Proficient in a modern analytical programming language (e.g., Python, R, MATLAB) and comfortable turning research code into production workflows. 5. Exceptional interpersonal",https://jobright.ai/jobs/info/69354a57f131d96e4846dcd0?utm_source=1114&utm_campaign=New%20Grad%20Data%20Engineer
Data_Engineer,"Software Engineer, Data - Top Secret Clearance","Advanced Materials
Aerospace",SpaceX,,$15K-$145K /yr,2025-12-07,,,,"1. Bachelor's degree in computer science, math, or an engineering discipline 2. 1+ years of experience in software development, developing applications in languages such as Python, C++, or Java 3. Experience with high throughput data pipelines 4. This position requires successfully obtaining and maintaining a Top Secret Security Clearance as a condition of employment 5. Willing to work extended hours and weekends when needed",https://jobright.ai/jobs/info/68e0d48b1852e62f007ef8fd?utm_source=1114&utm_campaign=New%20Grad%20Data%20Engineer
Data_Engineer,Data Engineering Analyst - Portfolio Analytics & Reporting,StepStone Group,Hybrid,,$72K-$76K /yr,2025-12-07,,,,"1. Bachelor's degree in Computer Science, Information Systems, or a related quantitative field. 2. 1-3 years of experience in data analysis or a junior data engineering role. 3. Strong SQL skills; Experience working with Snowflake is preferred. 4. Scripting ability (Python or similar) for automation and troubleshooting. 5. Familiarity with modern data tools (Snowflake, dbt, Airflow, Airbyte) or a strong willingness to learn. ...",https://jobright.ai/jobs/info/69193b6ebcdbf3560c9d474d?utm_source=1114&utm_campaign=New%20Grad%20Data%20Engineer
Data_Engineer,Database Engineer - Entry Level,Boeing,"Aerospace
Industrial",,$70000-$90000 /yr,2025-12-07,,,Yes,"1. Bachelor’s degree in a technical discipline from an accredited college or university is required 2. Five (5) years of additional DBE experience may be substituted for a Bachelor’s degree 3. Active TS/SCI with Polygraph Clearance 4. Experience supporting the database design, development, implementation, information storage and retrieval, data flow and analysis activities 5. Knowledge of the analysis and evaluation of system improvements, optimization, development and/or maintenance efforts ...",https://jobright.ai/jobs/info/68fbf8b793c49825ab108261?utm_source=1114&utm_campaign=New%20Grad%20Data%20Engineer
Data_Engineer,Data Engineer II,Grainger,Hybrid,,$60K-$101K /yr,2025-12-07,,,,"1. Bachelor's Degree or equivalent experience in Engineering or Computer Science or Information Technology, or a related technical discipline required 2. 1+ years of experience with Modern Data Engineering projects and practices required 3. 1+ years of experience deploying cloud native solutions required 4. 1+ years of experience with AWS, SQL, Python, Docker/Kubernetes, CI/CD, Git familiarity with: Snowflake, DBT, Airflow required 5. Experience with advanced analytics and machine learning ...",https://jobright.ai/jobs/info/691a9f14bcdbf3560c9d94b3?utm_source=1114&utm_campaign=New%20Grad%20Data%20Engineer
Data_Engineer,Master Data Management Specialist,Giesecke+Devrient,Hybrid,,$82K-$88K /yr,2025-12-07,,,,"1. Bachelor’s Degree required. 2. 1+ years of Master Data management. 3. 1+ years of SAP experience would be a plus. 4. Strong Excel and database building/navigating skills. 5. Methodic, precise person. Able to manage large sets of data. ...",https://jobright.ai/jobs/info/68cd8c2eb2a74e1837ed8925?utm_source=1114&utm_campaign=New%20Grad%20Data%20Engineer
Data_Engineer,Ai & Data Engineer,"Electrical Distribution
Energy",Fayetteville Public Works Commission,,$79165.72-$104300.84 /yr,2025-12-06,501-1000,,,"1. Proficiency in SQL, Python, and PySpark. 2. Experience with data pipeline development and AI/ML applications. 3. Knowledge of data warehousing, data lake architecture, and Oracle Fusion Analytics. 4. Familiarity with machine learning, AI, and Generative AI technologies. 5. Strong analytical, problem-solving, and communication skills. ...",https://jobright.ai/jobs/info/69348c2ba0dde7020e2f5c40?utm_source=1114&utm_campaign=New%20Grad%20Data%20Engineer
Data_Engineer,Data Engineer Analyst,Lincoln Financial,Hybrid,,$69K-$125K /yr,2025-12-06,5001-10000,,,"1. 4 Year/Bachelor's degree or equivalent work experience (4 years of experience in lieu of Bachelor's) in Data Engineering (Minimum Required) 2. 1 - 3+ Years of data engineering experience, which can include internships while completing a degree. 3. Working knowledge of AWS services EKS, EC2, S3, Cloudwatch and others 4. Working knowledge of code based CICD ETL programs using Gitlab with AWS 5. Foundational knowledge of Dataiku or similar Data Science Modelling and Automation Platforms ...",https://jobright.ai/jobs/info/691ad5f2bcdbf3560c9dae92?utm_source=1114&utm_campaign=New%20Grad%20Data%20Engineer
Data_Engineer,Data Engineer Graduate (Data Platform - Global Live) - 2026 Start (MS),TikTok,"San Jose, CA",,$119K-$259K /yr,2025-12-06,,,,"1. Currently pursuing a Master's in Software Development, Computer Science, Computer Engineering, Mathematics, Statistics, Data science or a related technical discipline 2. Good experience in data solutions, such as data consulting, product development, and data tools creation. 3. Strong problem-solving and analytical skills with the ability to translate business needs into technical solutions and data metrics. 4. Have an understanding of data warehousing and the construction ideas of the data s",https://jobright.ai/jobs/info/68cb954cba798c1a501d23c5?utm_source=1114&utm_campaign=New%20Grad%20Data%20Engineer
Data_Engineer,"Research Scientist Graduate, (Distributed NoSQL Database Systems) - 2026 Start (PhD)","Content
Data Mining",ByteDance,,$130K-$246K /yr,2025-12-06,,,,"1. Final year or recent graduate with a background in software development, computer science, computer engineering, or related technical discipline. 2. Ph.D. in Computer Science or related fields with strong database systems or AI research experience. 3. Proficiency in one or more programming languages (C, C++, Java, Go, Python, Rust) with strong coding skills in a Linux environment. 4. Deep understanding of database principles, distributed system design, and multi-threaded programming, with han",https://jobright.ai/jobs/info/68cba46d9e3a822f5d249b19?utm_source=1114&utm_campaign=New%20Grad%20Data%20Engineer
Data_Engineer,Software Engineer Graduate (Monetization Data) - 2026 Start (BS/MS),TikTok,"San Jose, CA",,$119K-$187K /yr,2025-12-06,,,,"1. Bachelor's degree in Computer Science, Engineering, or a related field. 2. Strong knowledge of SQL and experience working with relational and non-relational databases. 3. Proficiency in programming languages such as Python, Java, Go etc. 4. Solid understanding of data modeling and data warehousing concepts, data integration and ETL/ELT techniques. 5. Effective communication skills and ability to collaborate effectively with cross-functional teams. ...",https://jobright.ai/jobs/info/6917cd4c15b415636717ba98?utm_source=1114&utm_campaign=New%20Grad%20Data%20Engineer
Data_Engineer,Data Engineer/Scientist,"Indoor Positioning
Mapping Services",Trimble Inc.,,$88K-$116K /yr,2025-12-06,,,,"1. Bachelor's degree in Computer Science, Engineering, Information Systems, or a related quantitative field. 2. Hands on experience in the field working with data leveraging ETL operations, ML creation and management, and LLM tools. 3. Foundational knowledge of database concepts and proficiency in SQL for data querying and manipulation. 4. Proficiency in at least one programming language, preferably Python, for scripting and data processing tasks. 5. A conceptual understanding of data warehousin",https://jobright.ai/jobs/info/69340b56a0dde7020e2f3d4e?utm_source=1114&utm_campaign=New%20Grad%20Data%20Engineer
Data_Engineer,DATABASE SPECIALIST,State of Arkansas,"Education
Employment",,$60K-$99K /yr,2025-12-05,5001-10000,,,"1. A bachelor’s degree in computer science, information technology, or a related field. 2. Basic understanding of database principles, including relational database management and data integrity. 3. Proficiency in SQL and database query writing. 4. Familiarity with common database management systems (e.g., SQL Server, Oracle, MySQL). 5. Strong attention to detail and ability to accurately input and verify data. ...",https://jobright.ai/jobs/info/6933a9e7a0dde7020e2f04ec?utm_source=1114&utm_campaign=New%20Grad%20Data%20Engineer
Data_Engineer,Data Migrations Specialist,Clio,CAD62400-CAD84400 /yr,Hybrid,,2025-12-05,,,,"1. High output, analytical, and skilled Data Migrations Specialist 2. Technical expertise in data migration sessions 3. Troubleshooting expert 4. Deep empathy for ensuring that employees and customers' needs are understood 5. Ability to manage multiple client cases at a time with strict observance of associated tasks and deadlines ...",https://jobright.ai/jobs/info/69339473f131d96e4846491a?utm_source=1114&utm_campaign=New%20Grad%20Data%20Engineer
Data_Engineer,DATA ENGINEER (ECONOMIC RESEARCH),"Electronics
Energy",El Paso Electric Company,,$69K-$94K /yr,2025-12-05,,,,"1. Bachelor’s degree or higher in Computer Science, Engineering, Mathematics, Statistics or a related field. 2. 0-3 or more years of experience. 3. PowerBI and SQL for accessing and wrangling data experience required. 4. Understanding of relational database management systems (RDBMS), data modeling, and data warehousing. 5. Assist in the development of data warehousing solutions. ...",https://jobright.ai/jobs/info/6933708bf131d96e484635be?utm_source=1114&utm_campaign=New%20Grad%20Data%20Engineer
Data_Engineer,Software & Data Engineer - Palantir Foundry,"Aerospace
National Security",Ursa Major,,$90K-$115K /yr,2025-12-05,,,,"1. US Citizenship or Permanent Residency 2. 1-5 years of professional software development experience 3. 1+ years of data engineering experience 4. Hands-on, professional experience with Palantir Foundry",https://jobright.ai/jobs/info/6933877df131d96e48464202?utm_source=1114&utm_campaign=New%20Grad%20Data%20Engineer
Data_Engineer,Data Infrastructure Engineer,XPENG,"Automotive
Autonomous Vehicles",,$124K-$210K /yr,2025-12-05,,,,"1. BS in Analytics, Computer Science, Mathematics or related fields (or relevant experience) 2. 1+ years industrial experience in the related field 3. Proficient in both written and spoken English and Mandarin 4. Passionate about autonomous driving technology 5. Familiar with SQL and some prior experience with Python ...",https://jobright.ai/jobs/info/693385f8a0dde7020e2eed90?utm_source=1114&utm_campaign=New%20Grad%20Data%20Engineer
Data_Engineer,EXPEDITED-SVN-US97-2025-035 Project Associate (Data & Admin),,IOM GLOBAL OFFICE WASHINGTON DC,,"$5,508.33-$5,508.33 /mon",2025-12-05,11-50,,,,https://jobright.ai/jobs/info/6933565df131d96e48462255?utm_source=1114&utm_campaign=New%20Grad%20Data%20Engineer
Data_Engineer,"Associate Director, Analytics","Analytics
Biotechnology",Payer Sciences,,$72K-$109K /yr,2025-12-05,51-100,,,"1. 0-3 years of professional experience 2. Hands-on experience with SQL and Python or R 3. Foundational exposure to cloud platforms (Snowflake, Redshift, Azure), ETL/ELT tools, APIs, and Git 4. Bachelor’s degree in Computer Science, Data Engineering, Analytics or other related discipline 5. Understanding of relational data models and data transformation concepts ...",https://jobright.ai/jobs/info/693362eb764507023d1b51b3?utm_source=1114&utm_campaign=New%20Grad%20Data%20Engineer
Data_Engineer,Associate Analytics Engineer,AssetMark,Hybrid,,$81K-$99K /yr,2025-12-05,,,,"1. Solid proficiency in SQL (Structured Query Language) 2. Familiarity with data transformation tools, preferably dbt (data build tool) 3. Understanding of data warehousing concepts (e.g., dimensional modeling/Kimball) 4. Excellent communication skills with the ability to clearly articulate technical concepts and requirements to both technical and non-technical stakeholders 5. Problem-solving and critical thinking skills to investigate and resolve data issues ...",https://jobright.ai/jobs/info/69336c0aa0dde7020e2edcbf?utm_source=1114&utm_campaign=New%20Grad%20Data%20Engineer
Data_Engineer,Data Systems Coordinator,Michigan Afterschool Partnership,Hybrid,,$45K-$50K /yr,2025-12-05,11-50,,,"1. At least one year of related experience in data management and reporting 2. Proficiency in Microsoft Suite, Google Workspace, and virtual collaboration tools; comfort using databases and CRM systems. 3. Strong organizational skills and ability to manage multiple priorities, meetings, and deadlines. 4. Commitment to equity and expanding OST access for Michigan youth. 5. Works effectively in remote settings. ...",https://jobright.ai/jobs/info/693329eea0dde7020e2eaf1a?utm_source=1114&utm_campaign=New%20Grad%20Data%20Engineer
Data_Engineer,SQL Developer,Berkshire Hathaway GUARD Insurance Companies,Hybrid,,"$65,00-$125,00 /yr",2025-12-05,501-1000,,,1. Proficiency in T-SQL or similar relational database development. 2. Experience with an object-oriented language (C# or Java preferred). 3. Basic understanding of version control systems (Git preferred). 4. Strong communication and problem-solving skills. 5. Ability to adapt to changing priorities in an Agile environment. ...,https://jobright.ai/jobs/info/691fea98a49a885af9a355a6?utm_source=1114&utm_campaign=New%20Grad%20Data%20Engineer
Data_Engineer,Software Engineer Graduate (Data Arch - Data Ecosystem ) - 2026 (PhD),TikTok,"San Jose, CA",,$119K-$259K /yr,2025-12-05,,,,"1. PhD or Master’s degree in Computer Science or related technical field. 2. Experience building large-scale distributed systems, preferably in storage, stream processing, or ML infrastructure. 3. Solid understanding of Apache Flink internals, with hands-on experience in state management, connectors, or UDFs. 4. Familiarity with modern Lakehouse technologies such as Apache Paimon, Iceberg, Delta Lake, or Hudi, especially around incremental ingestion, schema evolution, and snapshot isolation.",https://jobright.ai/jobs/info/68cd81301ad6b16f0289a807?utm_source=1114&utm_campaign=New%20Grad%20Data%20Engineer
Data_Engineer,Data Engineer Graduate (E-commerce) - 2026 Start (BS/MS),TikTok,"San Jose, CA",,$119K-$259K /yr,2025-12-05,,,,"1. BS or MS degree in Computer Science or related technical field or equivalent practical experience 2. Experience in the Big Data technologies(Hadoop, M/R, Hive, Spark, Metastore, Presto, Flume, Kafka, ClickHouse, Flink etc.) 3. Experience with performing data analysis, data ingestion and data integration",https://jobright.ai/jobs/info/68ca4003f61c922772a75e49?utm_source=1114&utm_campaign=New%20Grad%20Data%20Engineer
